frame,x,y,bbox_x,bbox_y,bbox_w,bbox_h,area,aspect_ratio,extent,eccentricity,laplacian_variance,gaussian_fit_residual_sum,fitted_sigma_aspect_ratio,Ag_gaussian_amplitude,sigma_x_pixels,sigma_y_pixels,fwhm_x_pixels,fwhm_y_pixels,fwhm_avg_pixels,gaussian_offset,r_squared_gaussian,rmse_gaussian,Ibcnt,Ib_photons_emitted,Idetect_photons_camera,Iphelect_photoelectrons,siamese_embedding,particle
1,71.90058479532163,32.84795321637427,65,25,14,16,171,0.875,0.7633928571428571,0.6396497446388681,1688.3892822265625,27103.56806240647,1.9295876524671527,203.506716571781,1.7568970443086929,3.39008684335409,4.1374925393469715,7.983654516098881,6.0605735277229265,39.07322220375272,0.9429866901002356,12.589694119626927,855280.0,5701866.666666667,85528.0,60724.88,"[ 2.0169454  -4.3868074   1.5150188  -4.095904   -0.5162379   0.11380601
  0.11172518  2.4062197   2.543425    0.5549106   0.5218699   1.4777637
  4.732733   -1.3693181  -0.7997923   0.68463796 -0.4518975  -2.9930048
 -1.0476751  -6.7768025  -1.8665981   5.8421063   1.0348624   0.6000512
  4.415193   -1.0117431  -0.85375416  0.6357862  -0.9415733  -5.5177336
 -4.0112834   3.0256844  -2.6449592   1.7574394  -1.021991    6.0076585
 -2.6397007  -0.72744584  2.9383104   0.6779869  -0.4789377  -1.0088179
 -1.8858135   0.31790477 -0.12545633 -1.6748971   0.7470515   0.25913954
  3.941644   -2.2852998  -0.5905489   1.6499412   4.1386733  -0.07188769
  0.6687654  -1.576303   -0.07433674  1.5025301  -2.7100208   2.6535027
  1.2323809   0.50702626 -1.5910422   0.83611465 -3.2329643   0.7824049
 -1.8527671   1.1906772  -5.001436   -2.7864704  -1.0477358   1.4314307
 -8.387752   -0.58646744  0.87976414  5.405912   -3.3823118  -1.4523084
 -0.40059614 -2.1972592   2.9150329  -1.2325178  -1.9306453  -0.317346
 -0.55599743  0.6572932   4.296526    2.8647192   1.2294819   0.67144334
  5.189103    3.126068    2.560315   -4.2387667  -0.2429359  -0.02049006
 -0.197142   -0.4051076   2.3673508   0.8401959  -0.9636773  -0.4455217
 -2.028947    1.1226772   0.44614267  1.5079235  -0.6054501   1.2450913
  1.4181278  -4.350816    3.0268736  -1.3292218   0.21211444 -0.15076014
  0.76677465  3.1979964  -1.250516   -0.8934018  -3.71839     2.6998715
  6.0202656  -0.5026027   1.6208547   2.6651626  -2.2730682  -0.32830483
  3.51582    -0.40776604]",0
2,71.57070707070707,32.035353535353536,64,24,15,17,198,0.8823529411764706,0.7764705882352941,0.6322791151893554,1584.133056640625,47731.00508518895,2.1435705708811907,212.59193930028243,1.6385505398336784,3.5123487160889613,3.8587865213083123,8.271581226389504,6.065183873848908,37.94419268554146,0.9169232525916213,15.526290034919128,1207456.0,8049706.666666666,120745.59999999999,85729.37599999999,"[ 2.012804   -4.392726    1.5192547  -4.0928383  -0.5174214   0.11525494
  0.11190221  2.4050698   2.5433354   0.5665521   0.52263546  1.477252
  4.7398963  -1.3692137  -0.7973877   0.6864715  -0.45157665 -2.9905744
 -1.0471375  -6.776439   -1.8659974   5.8424935   1.0353214   0.59607446
  4.4168887  -1.0095476  -0.85374403  0.6397847  -0.9463126  -5.5060053
 -4.0074286   3.0243149  -2.6395128   1.755094   -1.0115049   6.006983
 -2.6369836  -0.7285564   2.9381082   0.67678934 -0.4778018  -1.0102863
 -1.8839135   0.3180169  -0.12369645 -1.6738912   0.74452245  0.2621026
  3.9408948  -2.2855828  -0.5895332   1.6504064   4.1309094  -0.07157695
  0.6658828  -1.5763239  -0.07267925  1.500501   -2.711444    2.6526673
  1.23026     0.5016973  -1.5955368   0.8504189  -3.2325833   0.7855469
 -1.8538297   1.1886041  -4.9988637  -2.7914705  -1.0485998   1.4307213
 -8.386087   -0.58785987  0.88028854  5.40605    -3.3832192  -1.4521626
 -0.40050554 -2.19729     2.9125628  -1.2328426  -1.927859   -0.31721738
 -0.55654716  0.6571958   4.285419    2.8640358   1.2292782   0.6709118
  5.190762    3.1262422   2.5593896  -4.240186   -0.24308068 -0.02427519
 -0.19612682 -0.40228382  2.362386    0.8404906  -0.9656435  -0.44310236
 -2.0272198   1.1240841   0.4416182   1.5079545  -0.6052752   1.246191
  1.4180403  -4.3487196   3.0275345  -1.3283478   0.21564005 -0.15009412
  0.76751196  3.1984894  -1.2504684  -0.8940818  -3.7173274   2.693129
  6.0199857  -0.50596476  1.6165348   2.6652126  -2.2746513  -0.32822067
  3.5167677  -0.40839124]",0
3,72.70718232044199,32.574585635359114,66,25,14,16,181,0.875,0.8080357142857143,0.5761675579600822,2025.092529296875,36858.069036569366,2.15129282307085,211.00121810206582,1.6135484130328661,3.471215120634964,3.7999065126923997,8.17471160909534,5.987309060893869,43.23968465828519,0.9299482967137899,14.27009952780752,1073264.0,7155093.333333333,107326.4,76201.74399999999,"[ 2.0122561  -4.3855467   1.5181805  -4.0924363  -0.51713914  0.11809477
  0.11177316  2.4058168   2.5438805   0.5640802   0.521724    1.476885
  4.7355175  -1.3692933  -0.79860353  0.68101245 -0.45356005 -2.9910905
 -1.0470884  -6.7763066  -1.8666736   5.84252     1.0393366   0.59696484
  4.4170837  -1.0109568  -0.8540466   0.6413096  -0.9477388  -5.505467
 -4.008183    3.0244265  -2.6461315   1.7554414  -1.0176985   6.007457
 -2.6364295  -0.7301638   2.9361734   0.67710257 -0.47758976 -1.0099397
 -1.884317    0.3177982  -0.12484933 -1.6747667   0.7440262   0.25945807
  3.94128    -2.2856584  -0.58974767  1.6505325   4.1258554  -0.07162345
  0.6650646  -1.5765506  -0.07199416  1.4940736  -2.7113125   2.6529963
  1.2303754   0.50516576 -1.5926663   0.84399605 -3.2329419   0.7811198
 -1.8569177   1.1879754  -4.999976   -2.7831073  -1.0489069   1.4331038
 -8.387464   -0.5878263   0.88038963  5.406124   -3.382749   -1.4524792
 -0.40010047 -2.1962788   2.9153433  -1.236771   -1.9289991  -0.3179535
 -0.5569795   0.6573348   4.290075    2.8644347   1.2291358   0.6682519
  5.189812    3.126419    2.5597758  -4.241941   -0.24266553 -0.02321161
 -0.19673085 -0.4024484   2.366107    0.84038615 -0.96510017 -0.4454044
 -2.02702     1.1278166   0.44338942  1.5082691  -0.6051115   1.245758
  1.4234942  -4.350117    3.0277843  -1.3287278   0.21876274 -0.15002969
  0.76753306  3.1984458  -1.2503501  -0.8938579  -3.718779    2.6977804
  6.0207934  -0.5029222   1.6182908   2.6652927  -2.2745526  -0.3279925
  3.5161803  -0.40868598]",0
4,72.1304347826087,31.27173913043478,66,23,14,17,184,0.8235294117647058,0.773109243697479,0.6225286223557267,2250.3203125,43030.71932932052,1.6989641790638277,208.61539974231576,2.1082555056226395,3.5818505843669626,4.9649417157413165,8.435258126184197,6.7000999209627565,44.94286597121291,0.9247489676090151,15.292566986959875,812912.0,5419413.333333333,81291.2,57716.75199999999,"[ 2.0135543  -4.3889446   1.5163468  -4.101301   -0.5201232   0.1143662
  0.11073849  2.4069083   2.5418353   0.55800325  0.5201597   1.479955
  4.738476   -1.369312   -0.80386436  0.6913628  -0.4507599  -2.9915917
 -1.0477308  -6.7766237  -1.8667434   5.842728    1.0340531   0.60061884
  4.414571   -1.0098336  -0.8539542   0.63305175 -0.93662924 -5.517099
 -4.0084033   3.0260558  -2.642003    1.7579937  -1.0133986   6.0057607
 -2.6412244  -0.72516656  2.941647    0.67716855 -0.47791207 -1.0041597
 -1.8856099   0.31885225 -0.12696207 -1.6675292   0.74608827  0.25959635
  3.9416296  -2.2866073  -0.58821416  1.6495228   4.138027   -0.07168762
  0.6619582  -1.5756718  -0.06899616  1.5127931  -2.7082064   2.6526048
  1.2293819   0.5118294  -1.5943449   0.83663404 -3.2321825   0.7841567
 -1.8510059   1.1922257  -5.0059924  -2.785123   -1.047139    1.4318843
 -8.390298   -0.58653164  0.87997204  5.4069066  -3.3839839  -1.449977
 -0.40093583 -2.1973312   2.9115894  -1.2325355  -1.9306844  -0.3161228
 -0.5551991   0.6580329   4.2927823   2.863556    1.2296946   0.6727737
  5.188022    3.125433    2.5592647  -4.238622   -0.24314204 -0.01936091
 -0.19348645 -0.40048602  2.3534603   0.83862364 -0.96418965 -0.43752694
 -2.029223    1.1239182   0.44313312  1.5071056  -0.605592    1.2454402
  1.4085112  -4.3495464   3.0261955  -1.3286222   0.2096064  -0.15047237
  0.76660377  3.1975672  -1.2511386  -0.89511365 -3.71732     2.6979313
  6.022477   -0.5016968   1.6181725   2.664361   -2.276375   -0.3285148
  3.515834   -0.4075299 ]",0
5,72.17714285714285,31.771428571428572,66,24,13,16,175,0.8125,0.8413461538461539,0.6714500390369286,1900.2919921875,39185.710765364405,2.0867092617726417,209.1387854091707,1.6045441501083644,3.348217138954236,3.778701473505198,7.885051362237226,5.831876417871212,37.84821328841517,0.9216924112358564,14.963901470895006,889200.0,5928000.0,88920.0,63133.2,"[ 2.010545   -4.3882885   1.5174873  -4.0967984  -0.51362437  0.11474892
  0.11064807  2.406747    2.5441241   0.5612444   0.5218229   1.4789588
  4.738704   -1.3691928  -0.79880273  0.6874847  -0.45388216 -2.991976
 -1.0466737  -6.7774262  -1.8674039   5.8434753   1.0383534   0.59836096
  4.415874   -1.0088202  -0.85324156  0.63956344 -0.9441268  -5.507583
 -4.009871    3.024349   -2.6406388   1.7574726  -1.0191152   6.006822
 -2.6406548  -0.7313638   2.941628    0.6760181  -0.477403   -1.0097132
 -1.8855697   0.31798    -0.12601793 -1.668657    0.74472165  0.25841284
  3.941386   -2.2859747  -0.5864701   1.6504359   4.1262608  -0.07130495
  0.6660476  -1.5776666  -0.07218036  1.4964943  -2.7093098   2.6542602
  1.2309982   0.512195   -1.5950952   0.8406644  -3.2329023   0.78406787
 -1.8566886   1.1915337  -5.0052123  -2.7827535  -1.0484822   1.4330132
 -8.3921995  -0.58695227  0.8792909   5.406922   -3.383808   -1.4512447
 -0.40037018 -2.19532     2.9147682  -1.2337934  -1.9319832  -0.31833795
 -0.55706924  0.65721416  4.293916    2.8643446   1.2285751   0.6683514
  5.1876664   3.1272793   2.5602438  -4.243591   -0.24263424 -0.01928819
 -0.19075084 -0.3973333   2.361812    0.83917844 -0.9639851  -0.44162095
 -2.0286267   1.1285254   0.44363475  1.5085351  -0.60509497  1.2456465
  1.418179   -4.3505263   3.0259411  -1.3312874   0.21765862 -0.1511881
  0.76809907  3.198621   -1.2504182  -0.89551204 -3.7180295   2.7012594
  6.023713   -0.50175166  1.6199309   2.6659443  -2.275686   -0.32833487
  3.5152316  -0.40822464]",0
6,72.65060240963855,33.08433734939759,66,25,14,17,166,0.8235294117647058,0.6974789915966386,0.6649475968121791,1895.4951171875,36272.7555287503,1.8598993169956464,213.89581652845226,1.747462392312342,3.250104109937303,4.1152739338955655,7.653995178902349,5.884634556398957,42.27880775419757,0.9292908681388112,14.782103215523811,909648.0,6064320.0,90964.8,64585.007999999994,"[ 2.0119102  -4.3877087   1.5154947  -4.0917635  -0.51400846  0.11588177
  0.11040613  2.4065704   2.5429168   0.5619537   0.5209105   1.4782368
  4.733249   -1.3691695  -0.7962396   0.68845266 -0.45273852 -2.9910989
 -1.0477575  -6.7770114  -1.8663659   5.8426332   1.0379072   0.59780556
  4.415647   -1.0107105  -0.85322464  0.6391455  -0.9461135  -5.5052376
 -4.008963    3.0251198  -2.6376405   1.7579153  -1.0195178   6.005577
 -2.6379936  -0.73487854  2.9388785   0.6756673  -0.47682545 -1.013894
 -1.8849876   0.3184104  -0.1255151  -1.6705716   0.7464076   0.25692654
  3.94117    -2.2869527  -0.58907783  1.6503228   4.129      -0.07127751
  0.6689367  -1.5765829  -0.07165071  1.4950743  -2.7106445   2.6533675
  1.2314204   0.5069772  -1.5930946   0.84652734 -3.2326987   0.78418994
 -1.857524    1.1872797  -4.996306   -2.787693   -1.0483518   1.4298234
 -8.38453    -0.587918    0.87998587  5.406695   -3.3826268  -1.450878
 -0.40044624 -2.1959965   2.9153843  -1.2313335  -1.9314163  -0.31738666
 -0.55670196  0.6576317   4.2931743   2.8635454   1.2284279   0.6707008
  5.188535    3.125602    2.5596988  -4.2416315  -0.24287856 -0.02455056
 -0.19469571 -0.40196195  2.3667588   0.8392688  -0.96441495 -0.44476545
 -2.0276785   1.125579    0.44286156  1.5080343  -0.60529166  1.2455958
  1.4176368  -4.3516426   3.0259986  -1.328472    0.21958469 -0.15074715
  0.7679913   3.1974862  -1.2503532  -0.8937139  -3.7163482   2.6989083
  6.0187144  -0.5027982   1.6180366   2.6654804  -2.2749596  -0.3283009
  3.5159614  -0.40848702]",0
7,71.59574468085107,31.397163120567377,66,24,12,15,141,0.8,0.7833333333333333,0.6546377881386432,2238.63330078125,23959.631455046525,1.7356879011656767,223.3612409111121,1.8414247421442396,3.1961386458468826,4.336555267749684,7.526906510969408,5.931730889359546,35.15049373688048,0.9510513462063188,13.035584536958368,754192.0,5027946.666666667,75419.2,53547.632,"[ 2.0121956  -4.383991    1.5134815  -4.0942636  -0.5111441   0.11648971
  0.11061296  2.4072492   2.5431273   0.55316085  0.5202956   1.4787208
  4.73016    -1.369053   -0.79846513  0.689088   -0.45355713 -2.9928803
 -1.0475755  -6.7772417  -1.8658485   5.842522    1.03833     0.60056794
  4.4174414  -1.0110558  -0.8532853   0.63952196 -0.94703597 -5.5113797
 -4.011859    3.026537   -2.6377752   1.7580209  -1.0211124   6.0065203
 -2.6395586  -0.7362554   2.9398246   0.67633593 -0.4780744  -1.0135089
 -1.8855727   0.31805128 -0.12502694 -1.669595    0.7472309   0.2538061
  3.9422364  -2.2865233  -0.58961     1.6500573   4.130498   -0.07130878
  0.670836   -1.5767056  -0.07138047  1.4978011  -2.7089045   2.6545043
  1.2340502   0.50911295 -1.591194    0.83582616 -3.232937    0.78411317
 -1.8561038   1.1867409  -5.0019226  -2.785581   -1.0474488   1.4331161
 -8.387965   -0.5865918   0.8799563   5.407151   -3.383661   -1.4509809
 -0.40045527 -2.1968288   2.9164836  -1.2323169  -1.932749   -0.3174248
 -0.5563564   0.65762705  4.293876    2.8638952   1.228639    0.6729958
  5.186936    3.1257858   2.560628   -4.2387486  -0.24280375 -0.0221609
 -0.19133031 -0.40038893  2.3658113   0.83958817 -0.96356833 -0.44543958
 -2.0295372   1.1253241   0.4448527   1.5078208  -0.60615104  1.2449592
  1.4156591  -4.354782    3.0268064  -1.3284415   0.21449785 -0.15166172
  0.7674867   3.1966965  -1.2500846  -0.8922526  -3.7189229   2.6985154
  6.017359   -0.49964318  1.6190275   2.665436   -2.2745183  -0.32861626
  3.5150912  -0.40769774]",0
8,71.9306358381503,33.67052023121387,65,26,14,16,173,0.875,0.7723214285714286,0.5901904993867856,1512.034912109375,24998.74907469914,1.986958166584576,208.27519162702185,1.6668051246132956,3.311872054455409,3.925326068464311,7.799458688242488,5.8623923783534,33.87143216971854,0.9484432947653635,12.020875165234239,1184496.0,7896640.0,118449.59999999999,84099.21599999999,"[ 2.0103986  -4.3901896   1.5198468  -4.0947757  -0.51810235  0.12033135
  0.11165789  2.407242    2.5448463   0.55384415  0.52083945  1.4765588
  4.7346964  -1.3689433  -0.8000308   0.67721075 -0.45373058 -2.99262
 -1.0460569  -6.7807956  -1.869455    5.8418365   1.053536    0.5975568
  4.4182825  -1.0144416  -0.85484695  0.6426269  -0.95363396 -5.5054464
 -4.0066366   3.026312   -2.6453931   1.7558063  -1.0156076   6.008376
 -2.6358173  -0.7293818   2.9371397   0.678922   -0.47699544 -1.0110486
 -1.8857296   0.31699455 -0.123868   -1.6791644   0.7439853   0.26021528
  3.942026   -2.286188   -0.59067285  1.6503515   4.1399336  -0.07177765
  0.67344975 -1.5772309  -0.07060441  1.4977014  -2.711664    2.653398
  1.2312603   0.504463   -1.5939398   0.84006953 -3.2327769   0.77432704
 -1.8599452   1.1862664  -5.0010276  -2.7778063  -1.0481887   1.4313004
 -8.389077   -0.58774334  0.88201755  5.4093313  -3.3837557  -1.4531674
 -0.39982802 -2.1975443   2.9189386  -1.2397509  -1.9319075  -0.31792513
 -0.5571862   0.6569689   4.2847524   2.864058    1.2292824   0.66676736
  5.195246    3.1259599   2.5607033  -4.2405715  -0.24285156 -0.02448881
 -0.19692826 -0.40446708  2.3680482   0.84104276 -0.9647504  -0.44940007
 -2.0255573   1.1243023   0.4457538   1.5072488  -0.6059968   1.246141
  1.4289453  -4.3526993   3.0269318  -1.3260579   0.21355055 -0.15139571
  0.7669002   3.19928    -1.2493602  -0.89366025 -3.7219555   2.6948528
  6.025468   -0.49923423  1.6224047   2.6660745  -2.274093   -0.3290012
  3.517947   -0.40812558]",0
9,73.45270270270271,34.391891891891895,68,27,13,16,148,0.8125,0.7115384615384616,0.7073745689981539,1809.22021484375,23713.42815513783,1.7168715110644115,205.37518372677945,1.7650052778149556,3.0302872783588244,4.156587429254221,7.136326540535031,5.646456984894626,37.97102590721546,0.9436867698643101,12.658035626158329,823168.0,5487786.666666666,82316.79999999999,58444.92799999999,"[ 2.0105824  -4.3898516   1.5152749  -4.0932403  -0.5143742   0.11442366
  0.11056772  2.4063344   2.543036    0.5549993   0.5209348   1.4789883
  4.731412   -1.3693178  -0.80014896  0.6857193  -0.4514517  -2.992176
 -1.0468677  -6.776941   -1.8661147   5.8428197   1.0400463   0.59847844
  4.4171066  -1.0111804  -0.85293174  0.64096606 -0.9462828  -5.5111756
 -4.010408    3.0255442  -2.6355581   1.7579858  -1.0199894   6.0061
 -2.6388664  -0.7312598   2.9405918   0.67652416 -0.4777887  -1.0106179
 -1.8857279   0.31849056 -0.12508762 -1.6714152   0.7455702   0.26162434
  3.9416454  -2.2862203  -0.58950055  1.6503881   4.1331434  -0.07156419
  0.6718681  -1.5767981  -0.07255837  1.4997296  -2.7102878   2.653808
  1.2327617   0.5084207  -1.5924894   0.8423712  -3.2327704   0.7814498
 -1.855069    1.1884838  -4.9988256  -2.786889   -1.047894    1.4291052
 -8.388921   -0.58697647  0.87977725  5.406512   -3.3828714  -1.4507684
 -0.40111327 -2.1966794   2.9143     -1.2318169  -1.9315491  -0.3172138
 -0.5563024   0.6572596   4.293738    2.863806    1.2284939   0.672616
  5.1892056   3.1257708   2.5598736  -4.24377    -0.24336389 -0.02356709
 -0.19435132 -0.39835635  2.3643162   0.8391944  -0.96451485 -0.44438303
 -2.028543    1.1211969   0.44227958  1.5079615  -0.60508054  1.2454612
  1.4191455  -4.3515296   3.025732   -1.3288552   0.21305554 -0.15127936
  0.76756644  3.1974103  -1.2506711  -0.8939211  -3.7171128   2.698713
  6.023003   -0.50194633  1.617865    2.6656272  -2.2747014  -0.3285882
  3.5160122  -0.40795714]",0
10,72.16774193548387,32.116129032258065,66,25,13,15,155,0.8666666666666667,0.7948717948717948,0.6724072043909678,2026.5836181640625,28511.67509374735,2.065198506991241,200.28311777572972,1.6210920783704776,3.3478769399460386,3.817671844562475,7.884250193572921,5.850961019067698,32.805140723974,0.9326863403006316,13.562680079077374,800752.0,5338346.666666667,80075.2,56853.39199999999,"[ 2.010188   -4.3913126   1.5154004  -4.0965543  -0.5141024   0.11638409
  0.11118487  2.4063058   2.5442798   0.55701274  0.51910853  1.4780831
  4.7365613  -1.3688755  -0.80044377  0.6875965  -0.45248753 -2.9928083
 -1.046266   -6.7774577  -1.8679934   5.842523    1.0379673   0.599825
  4.4166512  -1.0115227  -0.85305774  0.64101017 -0.94493216 -5.5085764
 -4.009282    3.024784   -2.6360126   1.7570784  -1.0197078   6.007182
 -2.638994   -0.7289798   2.9400487   0.67753786 -0.47748962 -1.0068942
 -1.8856859   0.31809098 -0.1252613  -1.665943    0.7450721   0.25780773
  3.9405887  -2.285578   -0.5874593   1.6503826   4.128124   -0.07130633
  0.6721109  -1.5773543  -0.07091066  1.5007983  -2.7073367   2.6548157
  1.231409    0.51239455 -1.5938407   0.8380376  -3.232639    0.786932
 -1.8544561   1.1899049  -5.006249   -2.7869248  -1.048173    1.4304304
 -8.394703   -0.5866224   0.8790938   5.4071393  -3.3826587  -1.4519336
 -0.40056187 -2.195759    2.9139495  -1.2308086  -1.9310538  -0.3181379
 -0.55701405  0.65671283  4.2955947   2.8643808   1.2288125   0.67040944
  5.190129    3.1261292   2.5609438  -4.238815   -0.24292848 -0.02024544
 -0.19072878 -0.3952786   2.358704    0.84014297 -0.9633719  -0.44228196
 -2.0275826   1.1223086   0.4445672   1.5082594  -0.6054364   1.2452623
  1.4161971  -4.3504944   3.0256522  -1.329243    0.21299379 -0.15164813
  0.7680857   3.1989958  -1.2499526  -0.89353245 -3.717677    2.7001064
  6.020756   -0.49903443  1.6208867   2.6659346  -2.2737238  -0.32851684
  3.5158095  -0.40770686]",0
