particle,lag_time_frames,lag_time_s,msd_x_nm2,msd_y_nm2,msd_xy_nm2
0,1,0.01,1888.095869796974,2894.477213309202,4782.5730831061765
0,2,0.02,2099.4947827783585,2795.9660157044036,4895.460798482763
0,3,0.03,1945.9023487165687,1812.2624539368146,3758.164802653383
0,4,0.04,4085.6351429106476,4790.418245199972,8876.053388110618
0,5,0.05,3940.360398685558,3261.9701660501846,7202.330564735743
0,6,0.06,4658.9837500230315,3265.6727770737125,7924.656527096744
0,7,0.07,6655.005595445917,5761.088087549942,12416.093682995857
0,8,0.08,5917.927002887021,3719.6445853826167,9637.57158826964
0,9,0.09,7145.76012954686,5035.697818661713,12181.457948208574
0,10,0.1,8477.238147983198,6412.008868191725,14889.247016174922
0,11,0.11,7634.787128971955,4037.823530421,11672.610659392956
0,12,0.12,9630.483075854121,6192.243422684019,15822.72649853814
0,13,0.13,10098.94270160928,6199.35942365092,16298.302125260196
0,14,0.14,9519.80940330193,4720.716023524687,14240.525426826616
0,15,0.15,11491.060563189887,7632.967341803648,19124.027904993534
0,16,0.16,10733.451626632366,6525.235431845197,17258.687058477564
0,17,0.17,10476.71350173954,6229.746289650287,16706.45979138983
0,18,0.18,11652.431715844326,8939.456022660106,20591.887738504436
0,19,0.19,9525.228974477615,7308.482572624037,16833.71154710165
0,20,0.2,9462.199979434945,8660.690898973717,18122.89087840866
0,21,0.21,9969.791462416364,10819.914158588019,20789.70562100439
0,22,0.22,8045.19542921542,8813.373667597858,16858.569096813277
0,23,0.23,9127.3947992138,10876.767367796123,20004.162167009927
0,24,0.24,9152.406610376935,11103.325766805354,20255.732377182292
0,25,0.25,7679.580104259088,9029.929970692152,16709.51007495124
0,26,0.26,9509.228460709119,11496.039096638455,21005.26755734758
0,27,0.27,8911.454327869205,10350.055158626583,19261.50948649579
0,28,0.28,8514.897070207415,9379.334633406565,17894.231703613983
0,29,0.29,10265.151518779736,11678.676402259787,21943.827921039527
0,30,0.3,8904.94407229305,9290.787675884503,18195.73174817755
